t,a,b,rho,m,sigma,loss,viol,ATM_IV,a_clip,b_clip,rho_clip,m_clip,sigma_clip,fallback,a_ema,b_ema,rho_ema,m_ema,sigma_ema
1,0.011538655847643698,0.0927956324823065,0.1529613728552032,0.14885429991701665,0.11578714124066683,5.030229236214883e-05,0,0.21866996347873813,0,0,1,0,1,1,0.004469143756660972,0.08349454280533691,-0.29148588555355526,0.049633021908798335,0.24181016810572822
2,4.138594148192024e-05,0.10554603242067825,0.1731755455203365,0.18051090723858418,0.21736737189477606,3.207644468363166e-05,0,0.21943300907599766,0,0,1,1,0,1,0.004461321207645822,0.08371230582945183,-0.2917031412257331,0.04959335375033225,0.2406180097406303
3,0.010895589512304226,0.08543889000670375,-0.10705306915265021,0.08659089336228667,0.13826120475107764,2.0314681145590674e-05,0,0.22133493419113232,0,0,0,0,0,0,0.006713315114276263,0.08431661029149,-0.22707561600015408,0.0625424926145163,0.2047931279942869
4,0.0049229231341282875,0.09426698726631852,0.09514522933143273,0.14977256082210746,0.18646171480831686,3.893797399718154e-05,0,0.2204612514540555,0,0,1,0,0,0,0.006086677921224472,0.08779924223267999,-0.1500756160001541,0.09307301648717321,0.19837713337919738
5,0.007693776395374088,0.10968613848041137,0.28356893135944594,0.17279017605067043,0.13632622065001837,5.010636024934802e-05,0,0.21901190936767334,0,0,1,0,0,1,0.005647789595946796,0.08965548267172593,-0.10005404386207017,0.11251424520312911,0.19526641064997102
6,0.008175207802200827,0.12397814002853824,0.4179187897329083,0.20270552865055919,0.1228660914746852,5.482163899371922e-05,0,0.22217407027725422,0,0,1,0,0,1,0.005401510215367546,0.09115581130227096,-0.06751640163348088,0.12597357494806327,0.1927319092385294
7,0.0026749881371795135,0.0916664767650087,-0.3183267530033194,0.012236859697607036,0.24288644598633585,4.645978570091652e-05,0,0.21793761876174716,0,0,1,0,0,0,0.004447227488001734,0.09133454421422917,-0.1445164016334809,0.08616572461040359,0.21028599710026163
8,0.010596475050843334,0.07480992854975488,-0.13176906547073786,0.10570287592658553,0.16967589173926528,2.3202614065759713e-05,0,0.21728537533830475,0,0,0,0,0,0,0.006599464134996295,0.08555092873166317,-0.14005483397652083,0.09300372757106727,0.19607246022391292
9,0.013016086110109239,0.07026382004184482,-0.1764766522986441,0.09102840225326347,0.14328182783031587,2.221652785000459e-05,0,0.2182299768845304,0,0,0,0,0,0,0.008845281826285824,0.08020044069022675,-0.15280247038926398,0.09231236370983595,0.17759573888615393
10,0.01035980422931922,0.08072861089726176,-0.38976335305394655,0.02449252494059361,0.16846218697736354,3.9225474416186814e-05,0,0.22142956035003603,0,0,1,0,0,0,0.009375364667347513,0.080385300262689,-0.22980247038926394,0.06857542014060113,0.1743989957180773
11,0.009196195941228114,0.08025952109073607,-0.12444104376853887,0.09109508737509353,0.17568783541471789,1.9751340956213086e-05,0,0.2236393472116976,0,0,0,0,0,0,0.009312655613205724,0.08034127755250547,-0.19292597107201015,0.07645730367267348,0.1748500896119015
12,0.005060652256653843,0.09578029600802229,-0.17792964093675223,0.06851268071888592,0.1868014720963372,4.2384048899348545e-05,0,0.21951729010830412,0,0,0,0,0,0,0.007824454438412566,0.08574493401193636,-0.18767725552466988,0.07367668563884783,0.17903307348145397
13,0.01863895949500545,0.0643951405608219,-0.5959252556897507,-0.025289914641542233,0.11104846716106369,4.832198288456999e-05,0,0.2195448846082656,0,0,1,0,0,0,0.011609531208220076,0.07827250630404631,-0.26467725552466986,0.03903837554071131,0.15523846126931737
14,0.003900054595867801,0.09837661655792364,0.015738209851193757,0.12070327935659345,0.18679276521416835,2.8940075557848495e-05,0,0.2190468724392089,0,0,1,0,0,0,0.00891121439389678,0.08530894489290336,-0.18767725552466988,0.06762109187627005,0.1662824676500152
15,0.010892483796942659,0.08628507781047577,-0.3657959282634045,0.019742389080885485,0.1505599076052143,4.878040178553335e-05,0,0.22136930708213984,0,0,0,0,0,0,0.009604658684962838,0.0856505914140537,-0.250018790983227,0.05086354589788545,0.16077957163433487
16,0.013559009061933353,0.07132851380830506,-0.14429209804299847,0.09932058839034834,0.13355518740787167,2.2587389964245617e-05,0,0.21604960836472661,0,0,0,0,0,0,0.010988681316902518,0.08063786425204168,-0.21301444845414702,0.06782351077024745,0.15125103715507277
17,0.011587640910414351,0.08577249988892255,0.0786651072014205,0.14041986705900647,0.13208330603380958,3.351734002523978e-05,0,0.22059550025068947,0,0,1,0,0,0,0.011198317174631659,0.08243498672494999,-0.13601444845414704,0.0932322354713131,0.14454233126263064
18,0.0024444775994546296,0.10631404444164388,0.24057144657376148,0.19890000438198774,0.19289547252551784,4.698864269434214e-05,0,0.21907199496317736,0,0,1,0,0,0,0.008134473323319699,0.09079265692579286,-0.05901444845414705,0.13021595459004923,0.16146593070464116
19,0.009322913409133519,0.07899135649181888,0.04722082539083848,0.15555385948769124,0.17735392383496934,3.4761170815560936e-05,0,0.22058298483168481,0,0,0,0,0,0,0.008550427353354536,0.08666220177390196,-0.02183210260840212,0.13908422130422393,0.16702672830025603
20,0.015541252103435894,0.08262395617655285,0.23894025876052186,0.1772703157797024,0.08325958670539724,5.9051462128594256e-05,0,0.22137191395020217,0,0,1,0,0,0,0.01099721601588301,0.08524881581482978,0.05516789739159787,0.1524493543706414,0.13770822874205546
21,0.007340461929756016,0.08448182171045479,-0.2896437784560603,0.041246848944648966,0.2000289616713187,2.6728659750749013e-05,0,0.21778726517495997,0,0,1,0,0,0,0.009717352085738562,0.08498036787829853,-0.021832102608402126,0.11352847747154404,0.1595204852672976
22,0.014350397240485022,0.07707922057038757,-0.10307177307556119,0.09570754691092372,0.10108081586713905,2.9305697720910753e-05,0,0.21857001369561335,0,0,0,0,0,0,0.011338917889899823,0.08221496632052969,-0.0502659872719078,0.10729115177532692,0.1390666009772421
23,0.010322539184626962,0.0658855837158235,-0.33499574563255546,0.06977685407036606,0.2185534545117092,2.91869387864235e-05,0,0.22241548866475191,0,0,1,0,0,0,0.01098318534305432,0.07649968240888252,-0.1272659872719078,0.09416114757859062,0.1668869997143056
24,0.0028573207195746464,0.1321447863661659,0.34933749924528174,0.19495537263066326,0.15129818661123134,5.069909905241431e-05,0,0.22130227532296257,0,0,1,0,0,1,0.010788806466862182,0.07262288008016146,-0.17898334925219395,0.08563572095882732,0.1839681942606905
25,0.011337182042510286,0.07616528760399292,-0.36097866376026616,0.02079648117902795,0.1707610424129748,3.399197235938223e-05,0,0.22004311960066705,0,0,0,0,0,0,0.010980737918339019,0.07386272271350247,-0.24268170933001923,0.06294198703589754,0.17934569111399
26,0.013036497227891535,0.07698127673017062,-0.33814493588529393,0.024313266184950083,0.1427640915230305,2.6593208020534257e-05,0,0.21988640408479818,0,0,0,0,0,0,0.011700253676682398,0.07495421661933632,-0.2760938386243654,0.049421934738065935,0.16654213125715417
27,0.010173367363566915,0.08623288549972176,0.04370423231755517,0.1359280446195094,0.14204692682948375,3.1201885887536215e-05,0,0.21766359008042768,0,0,1,0,0,0,0.01116584346709198,0.07890175072747123,-0.19909383862436536,0.07969907319657116,0.15796880970746952
28,0.010636935545706171,0.07355129418972821,-0.2656052551248355,0.07939640926942781,0.17474056783144254,3.135215537431947e-05,0,0.21677781969548987,0,0,0,0,0,0,0.010980725694606947,0.07702909093926116,-0.2223728343995299,0.07959314082207099,0.16383892505086006
29,0.013700984904580339,0.07126972652684316,-0.16414302424902877,0.09233232654859362,0.12634083888671094,2.265509935092116e-05,0,0.21833016723991608,0,0,0,0,0,0,0.011932816418097634,0.07501331339491486,-0.2019924008468545,0.08405185582635391,0.15071459489340788
30,0.006091765067271537,0.08038470297883828,-0.4245756557118351,-0.0015442976438664168,0.24822575351711174,3.342735755727312e-05,0,0.21952612439240632,0,0,1,0,0,0,0.0098884484453085,0.07689329974928805,-0.2789924008468545,0.0540932021117768,0.18484350041170422
